,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,Category,max_cite,pub_div,recent_3,academic_age,h_index,labels,Country
35,83,10260,13,127,8,0,1.0,3115.0,41,9,26,40,3,23.0
36,84,6928,0,107,16,0,1.0,1630.0,29,7,40,33,3,24.0
37,38,2686,13,17,8,0,1.0,330.0,16,5,17,26,3,9.0
38,192,6978,0,434,26,0,1.0,685.0,50,20,35,54,3,24.0
39,181,23275,45,286,16,1,1.0,1514.0,86,18,28,78,3,24.0
40,106,11392,13,122,10,3,1.0,2305.0,46,14,26,46,3,24.0
41,99,7972,0,484,14,0,1.0,887.0,49,16,15,54,3,18.0
42,126,8902,1,119,11,0,1.0,2068.0,57,16,46,53,3,24.0
43,76,8799,0,92,7,0,1.0,997.0,37,2,18,50,3,24.0
44,104,2464,0,179,4,0,1.0,496.0,44,0,41,32,3,24.0
45,84,12189,0,65,8,0,1.0,3052.0,33,6,49,43,3,5.0
46,133,19979,0,167,0,0,1.0,8109.0,59,26,47,43,0,24.0
47,238,24719,46,153,21,10,1.0,2343.0,97,12,48,89,0,24.0
48,54,8602,1,41,11,0,1.0,2185.0,18,2,35,34,3,24.0
49,97,17045,0,121,21,0,1.0,7393.0,62,24,14,37,3,12.0
50,230,25635,0,221,21,0,1.0,1791.0,93,23,47,88,0,24.0
51,24,2711,0,47,4,0,1.0,789.0,14,0,12,16,3,24.0
52,29,3658,8,36,7,0,1.0,1572.0,22,0,18,19,3,24.0
53,98,17570,41,155,9,3,1.0,2892.0,37,11,28,56,3,24.0
54,121,16184,0,117,11,0,1.0,1969.0,50,7,40,59,3,24.0
55,135,9572,34,117,12,7,1.0,2078.0,43,6,36,55,3,24.0
56,96,6713,64,54,4,0,1.0,1772.0,39,8,24,53,3,24.0
57,23,2277,16,17,5,1,1.0,834.0,11,3,16,17,3,24.0
58,40,7507,0,40,6,0,1.0,1810.0,19,6,27,29,3,24.0
59,213,10862,0,200,28,0,1.0,807.0,46,26,34,64,3,24.0
60,35,27173,1,16,0,0,1.0,8975.0,19,0,26,32,0,24.0
61,86,9297,39,58,10,0,1.0,1378.0,36,9,21,46,3,23.0
62,20,3817,5,17,3,0,1.0,1720.0,12,4,23,15,3,24.0
63,279,10622,0,404,26,0,1.0,764.0,107,58,26,76,1,0.0
64,44,5849,0,43,4,0,1.0,1575.0,32,3,24,27,3,23.0
65,162,13036,0,79,13,0,1.0,1767.0,51,8,27,69,3,24.0
66,134,16138,0,104,8,0,1.0,7736.0,63,3,46,51,0,24.0
67,38,5361,34,30,7,0,1.0,1515.0,19,9,18,24,3,24.0
68,129,15602,0,134,12,0,1.0,3150.0,46,8,35,61,3,24.0
69,110,6893,0,94,13,0,1.0,1105.0,43,14,27,49,3,1.0
70,38,4180,19,19,5,1,1.0,1054.0,22,4,17,24,3,24.0
71,92,10118,19,294,16,12,1.0,1133.0,55,14,22,45,3,24.0
72,177,17684,2,105,15,0,1.0,2866.0,49,25,47,75,0,1.0
73,342,9408,5,77,26,0,1.0,1708.0,88,44,20,61,3,0.0
74,480,46405,35,753,23,3,1.0,3385.0,94,17,33,130,0,24.0
75,37,3569,28,33,6,3,1.0,651.0,19,4,16,25,3,24.0
76,103,20995,0,104,4,0,1.0,6001.0,39,3,47,49,0,24.0
77,157,8176,0,181,29,0,1.0,1204.0,76,50,29,52,3,0.0
78,49,7002,20,45,12,0,1.0,1727.0,18,6,20,31,3,4.0
79,173,14039,0,159,24,0,1.0,1892.0,62,16,26,71,3,24.0
80,74,5902,16,51,10,0,1.0,1726.0,45,13,29,34,3,6.0
81,130,7644,0,126,14,0,1.0,735.0,47,8,27,53,3,24.0
82,105,34399,0,89,12,0,1.0,4636.0,60,5,46,52,0,24.0
83,188,10957,14,255,32,2,1.0,1819.0,85,46,14,55,3,24.0
84,64,6043,24,46,0,0,1.0,960.0,37,6,26,39,3,24.0
85,104,23667,0,113,12,0,1.0,8109.0,66,27,14,57,0,7.0
86,79,7997,2,30,10,0,1.0,1046.0,42,11,33,41,3,1.0
87,84,9357,30,51,10,4,1.0,1726.0,32,7,21,46,3,24.0
88,135,351,1,120,40,0,1.0,27.0,43,31,17,10,3,13.0
89,137,23560,0,137,12,0,1.0,8109.0,72,35,21,57,0,7.0
90,37,2199,46,26,10,0,1.0,891.0,31,8,16,20,3,7.0
91,121,8840,0,118,12,0,1.0,3302.0,51,31,25,49,3,7.0
92,438,10788,4,467,51,0,1.0,694.0,113,149,15,79,1,6.0
93,155,54342,14,75,11,1,1.0,8975.0,45,7,36,91,0,24.0
94,42,4768,0,46,5,0,1.0,1575.0,29,5,20,22,3,24.0
95,121,4004,2,188,21,0,1.0,598.0,28,46,14,45,3,16.0
96,35,3707,22,21,6,0,1.0,741.0,16,5,17,25,3,24.0
97,221,35842,5,98,23,0,1.0,16094.0,86,10,51,58,0,24.0
98,72,4898,4,41,6,0,1.0,1480.0,46,6,23,27,3,12.0
99,67,12683,2,56,6,0,1.0,2509.0,40,1,43,43,3,24.0
100,118,11762,46,121,16,2,1.0,1193.0,59,8,29,56,3,23.0
101,109,13674,0,85,9,0,1.0,7736.0,52,15,24,52,0,24.0
102,126,11280,1,156,12,0,1.0,1722.0,49,13,21,53,3,12.0
103,120,5319,45,60,13,0,1.0,816.0,61,18,21,40,3,7.0
104,93,10287,11,57,12,1,1.0,2073.0,35,7,34,36,3,24.0
105,457,22649,1,314,36,0,1.0,2518.0,151,7,42,104,0,23.0
106,108,6518,1,282,10,0,1.0,1420.0,50,14,26,45,3,18.0
107,182,25497,0,151,20,0,1.0,5813.0,85,26,37,76,0,24.0
108,90,7346,0,77,13,0,1.0,1002.0,31,19,20,42,3,8.0
109,195,8260,0,199,32,0,1.0,844.0,60,37,16,56,1,2.0
110,79,21519,23,36,6,0,1.0,3260.0,40,2,27,49,3,24.0
111,27,7458,0,15,5,0,1.0,2851.0,19,3,24,16,3,6.0
112,42,1990,2,42,6,0,1.0,384.0,23,4,25,20,3,2.0
113,63,1731,8,52,22,0,1.0,255.0,27,11,16,23,3,2.0
114,82,1046,8,52,14,0,1.0,106.0,22,14,16,23,3,2.0
115,740,20198,18,953,85,0,0.0,1625.0,175,178,44,101,2,16.0
116,586,59022,20,351,32,6,0.0,13045.0,154,45,37,106,0,24.0
117,427,9401,0,435,52,0,0.0,1540.0,118,94,15,61,1,15.0
118,404,25445,42,222,21,4,0.0,5771.0,77,31,29,85,0,24.0
119,219,8104,6,235,21,4,0.0,3876.0,65,26,17,71,3,24.0
120,13,21,27,49,1,0,0.0,7.0,12,13,2,3,3,11.0
121,777,40357,56,871,74,0,0.0,7191.0,266,89,23,109,2,0.0
122,620,17986,141,433,50,4,0.0,2122.0,160,95,31,66,2,24.0
123,1594,23539,12,1093,100,0,0.0,615.0,236,435,29,121,2,2.0
124,324,2640,12,485,68,0,0.0,168.0,82,247,29,31,1,2.0
125,414,17068,1,562,74,0,0.0,1905.0,165,32,19,73,1,2.0
126,304,5359,4,295,35,0,0.0,375.0,106,40,20,49,1,2.0
127,469,13694,0,464,89,0,0.0,463.0,204,27,27,75,1,2.0
128,268,6752,1,401,36,0,0.0,777.0,87,64,31,63,1,18.0
129,643,20083,119,577,54,0,0.0,1758.0,190,71,22,84,2,6.0
130,643,13148,128,681,37,0,0.0,1397.0,123,168,18,80,2,23.0
131,358,6274,6,520,90,0,0.0,784.0,160,98,15,46,1,10.0
132,205,4040,3,150,14,0,0.0,346.0,80,65,18,54,1,2.0
133,229,7700,37,160,24,0,0.0,1156.0,56,23,20,52,1,23.0
134,66,2298,25,94,11,4,0.0,775.0,28,17,13,25,3,24.0
135,178,13898,16,134,23,0,0.0,2868.0,75,32,16,51,1,18.0
136,133,5726,11,183,12,0,0.0,768.0,46,10,30,35,3,5.0
137,585,15772,2,341,47,0,0.0,1083.0,117,154,32,101,1,0.0
138,1339,28308,135,1293,100,15,0.0,1741.0,249,369,21,96,2,24.0
139,1787,24732,130,1102,100,0,0.0,1030.0,155,241,37,85,2,23.0
140,288,6304,1,260,37,0,0.0,473.0,119,93,16,55,1,2.0
141,803,27333,84,496,53,12,0.0,2576.0,162,60,26,103,2,24.0
142,724,36958,5,469,58,0,0.0,2868.0,153,18,30,126,0,18.0
143,629,13803,9,708,81,0,0.0,1334.0,158,163,27,92,2,18.0
