,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,max_cite,pub_div,recent_3,academic_age,h_index,Category_Computer Science,Category_Economics and Business,Country_Australia,Country_Canada,Country_ChinaMainland,Country_Cyprus,Country_Denmark,Country_Finland,Country_France,Country_Germany,Country_HongKong,Country_Italy,Country_Japan,Country_Luxembourg,Country_Netherlands,Country_Portugal,Country_Qatar,Country_SaudiArabia,Country_Singapore,Country_SouthKorea,Country_Spain,Country_Sweden,Country_Switzerland,Country_Taiwan,Country_UnitedArabEmirates,Country_UnitedKingdom,Country_UnitedStates
26,-0.7830375267242737,-0.8382559745874244,-0.42129016936345337,-0.7772515390575749,-0.81174955223067,-0.32465106887885353,-0.19093481562664918,-0.7845707701915355,-0.6465042163023808,-0.5580662297233745,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,-0.6595686508827163,0.32153664147678557,-0.4938700846572298,-0.3453398973314797,-0.6291867852173195,-0.32465106887885353,1.0618738343906537,-0.7086135510185805,-0.6878558263951293,-0.018662900015218923,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,-0.6811757041549888,1.7016694715946705,-0.5180633897551553,-0.7568462646453185,-0.7022118920226597,0.0679117031838418,2.7197129921966505,-0.7693793263569445,-0.5638009961168837,1.2759050912843546,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,-0.671915538466872,-0.3496754999466667,0.25612237337846,-0.5868023112098479,-0.7387244454253298,-0.32465106887885353,-0.19093481562664918,-0.6630392195148075,-0.591368736178716,-0.23442423189848116,43,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-0.6595686508827163,1.9102894614965544,-0.22774372858004954,-0.9166875808746608,-0.9577997658413505,-0.32465106887885353,3.7385040154915976,-0.9972509838758096,-0.6602880863332969,3.109876412292084,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,-0.23668775112538215,1.6806749831140706,0.23192906828053456,1.6169673253138508,-0.5196491250093092,0.0679117031838418,1.5131935430694838,-0.1161472414695313,-0.46731390590047045,0.8443824275178301,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,-0.23051430733330427,-0.18294257201335848,-0.22774372858004954,-0.5187847298356597,-0.0084733773719276,-0.32465106887885353,-0.5479617076774235,0.32440462973360784,-0.39839455574588956,0.41285976375130556,58,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-0.7799508048282348,1.6052578885721096,-0.42129016936345337,-0.8928814273936949,-1.0308248726466906,-0.32465106887885353,3.7385040154915976,-1.1339739783871285,-0.6878558263951293,1.81530842099251,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,-0.7583437515559622,-0.5985519119351378,-0.20355042348212407,-0.8044585716072502,-0.81174955223067,0.4604744752465371,-0.43009568689235395,-0.9061023208682636,-0.6878558263951293,-0.23442423189848116,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,-0.6811757041549888,-0.2200396293285933,-0.22774372858004954,-0.5323882461104973,-0.81174955223067,-0.32465106887885353,0.4704007119055775,-0.7086135510185805,-0.591368736178716,0.0892177659264122,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,-0.6780889822589499,-0.5596203847526661,-0.5422566948530807,-0.6004058274846855,-0.5196491250093092,-0.32465106887885353,-0.16607580033379815,-0.8909108770336726,-0.6189364762405484,1.599547089109248,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,-0.8200781894767409,-0.9919437834648258,-0.22774372858004954,-0.9064849436685326,-0.81174955223067,-0.32465106887885353,-0.7232606258632178,-1.0883996468833557,-0.6465042163023808,-0.8817082275482679,26,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-0.3447230174867449,-0.5545246351214524,-0.5422566948530807,0.5116816279832921,-0.15452359098260804,-0.32465106887885353,-0.5711063081224917,-0.5718905565072614,-0.43974616583863807,1.0601437594010923,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
