First Name,Last Name,ID,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,Category,Primary Affiliation,Secondary Affiliations
Armin,Falk,56257581700,86,8988,33,111,10,0,Economics and Business,"University of Bonn, Germany",
Eugene F.,Fama,6603950815,90,31163,13,14,4,0,Economics and Business,"University of Chicago, United States",
Ernst,Fehr,56211794400,227,28910,32,759,16,1,Economics and Business,"University of Zurich, Switzerland",
Nicolai J.,Foss,7005282199,229,10624,13,131,30,0,Economics and Business,"Bocconi University, Italy","Copenhagen Business School, Denmark"
Kenneth R.,French,7006094907,51,28170,5,21,2,0,Economics and Business,"Dartmouth College, United States",
Xavier,Gabaix,55897948300,58,6546,14,47,8,2,Economics and Business,"Harvard University, United States","National Bureau of Economic Research, United States"
Simon,Gaechter,6602903941,83,10260,13,127,8,0,Economics and Business,"University of Nottingham, United Kingdom","Institute for the Future of Labor (IZA), Germany"
William L.,Gardner,7202841337,84,6928,0,107,16,0,Economics and Business,"Texas Tech University, United States",
Nicola,Gennaioli,16063789100,38,2686,13,17,8,0,Economics and Business,"Bocconi University, Italy",
Lucy L.,Gilson,7005551617,192,6978,0,434,26,0,Economics and Business,"University of Connecticut, United States",
Edward L.,Glaeser,7003688582,181,23275,45,286,16,1,Economics and Business,"Harvard University, United States",
Uri,Gneezy,6701455596,106,11392,13,122,10,3,Economics and Business,"University of California San Diego, United States","University of California System, United States"
Erik,Gomez-Baggethun,24175588700,99,7972,0,484,14,0,Economics and Business,"Autonomous University of Barcelona, Spain",
Luis R.,Gomez-Mejia,6603684572,126,8902,1,119,11,0,Economics and Business,"Arizona State University, United States",
Adam M.,Grant,9333161800,76,8799,0,92,7,0,Economics and Business,"University of Pennsylvania, United States",
Michael,Greenstone,57212692527,104,2464,0,179,4,0,Economics and Business,"University of Chicago, United States","Becker Friedman Institute, United States"
Christian,Gronroos,6603496661,84,12189,0,65,8,0,Economics and Business,"Hanken Sch Econ, Helsinki, Finland",
Joseph F.,Hair Jr.,16230161100,133,19979,0,167,0,0,Economics and Business,"University of South Alabama, United States",
James J.,Heckman,7102737699,238,24719,46,153,21,10,Economics and Business,"University of Chicago, United States",
Constance E.,Helfat,6701800744,54,8602,1,41,11,0,Economics and Business,"Dartmouth College, United States",
