First Name,Last Name,ID,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,Category,Primary Affiliation,Secondary Affiliations
Qinglai,Wei,23092563300,269,3437,0,171,13,0,Computer Science,"Chinese Academy of Sciences, China Mainland",
Ligang,Wu,55505897200,417,11194,2,231,45,0,Computer Science,"Harbin Institute of Technology, China Mainland",
Zheng-Guang,Wu,24466004700,268,7271,1,169,24,0,Computer Science,"Zhejiang University, China Mainland",
Meimei,Xia,27968229400,63,3505,0,25,8,0,Computer Science,"Beijing Jiaotong University, China Mainland",
Bin,Xu,57191205532,166,2929,2,237,31,0,Computer Science,"Northwestern Polytechnical University, China Mainland",
Zeshui,Xu,55502698400,889,15656,3,395,47,0,Computer Science,"Sichuan University, China Mainland",
Laurence T.,Yang,7406280812,930,12627,0,1574,100,0,Computer Science,"Saint Francis Xavier University - Canada, Canada",
Xin-She,Yang,35754063200,364,21420,16,607,36,0,Computer Science,"Middlesex University, United Kingdom",
Yi,Yang,56159216600,314,13128,3,409,46,0,Computer Science,"University of Technology Sydney, Australia",
Yiyu,Yao,7403567566,364,8452,0,247,12,0,Computer Science,"University of Regina, Canada",
F. Richard,Yu,57213980384,735,14871,3,642,77,0,Computer Science,"Carleton University, Canada",
Yong,Zeng,36976852800,124,6149,59,99,11,0,Computer Science,"Southeast University - China, China Mainland",
Zhigang,Zeng,35316687300,362,6283,0,233,46,0,Computer Science,"Huazhong University of Science & Technology, China Mainland",
Haijun,Zhang,57189345966,297,5667,18,432,64,0,Computer Science,"University of Science & Technology Beijing, China Mainland",
Hong-yu,Zhang,36601805500,119,3501,0,83,20,0,Computer Science,"Central South University, China Mainland",
Huaguang,Zhang,56122851800,1151,15227,3,545,66,0,Computer Science,"Northeastern University - China, China Mainland",
Qingfu,Zhang,7406718367,290,11627,25,332,23,0,Computer Science,"City University of Hong Kong, Hong Kong",
Rui,Zhang,55729156200,502,22359,163,269,29,0,Computer Science,"National University of Singapore, Singapore",
Yin,Zhang,55975581400,153,446,1,93,26,0,Computer Science,"University of Electronic Science & Technology of China, China Mainland",
