作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Su, L., White, H.","12780712300;7402382523;","Testing conditional independence via empirical likelihood",2014,"Journal of Econometrics","182","1",,"27","44",,32,"10.1016/j.jeconom.2014.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901833554&doi=10.1016%2fj.jeconom.2014.04.006&partnerID=40&md5=e167370b39a612a685abb530dcef8164",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84901833554
"Su, L., Chen, Q.","12780712300;55171643900;","Testing homogeneity in panel data models with interactive fixed effects",2013,"Econometric Theory","29","6",,"1079","1135",,48,"10.1017/S0266466613000017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875764497&doi=10.1017%2fS0266466613000017&partnerID=40&md5=843e0b276409460dff471948a035c125",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84875764497
"Su, L., Ullah, A., Wang, Y.","12780712300;7005349157;55429149600;","Nonparametric regression estimation with general parametric error covariance: A more efficient two-step estimator",2013,"Empirical Economics","45","2",,"1009","1024",,10,"10.1007/s00181-012-0641-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883822514&doi=10.1007%2fs00181-012-0641-x&partnerID=40&md5=e36f9d7f4e0708babc8e3ea78424da82",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84883822514
"Jin, S., Su, L.","7401822800;12780712300;","A Nonparametric Poolability Test for Panel Data Models with Cross Section Dependence",2013,"Econometric Reviews","32","4",,"469","512",,12,"10.1080/07474938.2012.690669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873179532&doi=10.1080%2f07474938.2012.690669&partnerID=40&md5=56bc171cd58a9842d0944a9ef16be584",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84873179532
"Su, L., Spindler, M.","12780712300;55872916600;","Nonparametric Testing for Asymmetric Information",2013,"Journal of Business and Economic Statistics","31","2",,"208","225",,14,"10.1080/07350015.2012.755127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884994644&doi=10.1080%2f07350015.2012.755127&partnerID=40&md5=fb681c65fc3092bcf7a242aaee2951d2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84884994644
"Su, L., Ullah, A.","12780712300;7005349157;","A nonparametric goodness-of-fit-based test for conditional heteroskedasticity",2013,"Econometric Theory","29","1",,"187","212",,22,"10.1017/S0266466612000278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873645170&doi=10.1017%2fS0266466612000278&partnerID=40&md5=d2086c070771ab09cddb8f55a4b4c79f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84873645170
"Su, L., Murtazashvili, I., Ullah, A.","12780712300;22985808700;7005349157;","Local Linear GMM Estimation of Functional Coefficient IV Models With an Application to Estimating the Rate of Return to Schooling",2013,"Journal of Business and Economic Statistics","31","2",,"184","207",,17,"10.1080/07350015.2012.754314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885016788&doi=10.1080%2f07350015.2012.754314&partnerID=40&md5=897594c96d9baf7f7228567b36f4ab55",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84885016788
"Su, L., Lu, X.","12780712300;55748131500;","Nonparametric dynamic panel data models: Kernel estimation and specification testing",2013,"Journal of Econometrics","176","2",,"112","133",,30,"10.1016/j.jeconom.2013.04.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880330502&doi=10.1016%2fj.jeconom.2013.04.020&partnerID=40&md5=ec8e7aefaae9a710fc5578d256a29bcf",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84880330502
"Su, L., White, H.L.","12780712300;7402382523;","Conditional independence specification testing for dependent processes with local polynomial quantile regression",2012,"Advances in Econometrics","29",,"17072662","355","434",,16,"10.1108/S0731-9053(2012)0000029018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885008306&doi=10.1108%2fS0731-9053%282012%290000029018&partnerID=40&md5=bd82b8ba627cd42db210fa1ae99e8616",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84885008306
"Su, L., Jin, S.","12780712300;7401822800;","Sieve estimation of panel data models with cross section dependence",2012,"Journal of Econometrics","169","1",,"34","47",,45,"10.1016/j.jeconom.2012.01.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861848463&doi=10.1016%2fj.jeconom.2012.01.006&partnerID=40&md5=9d2ea71a1bcf5f4fc5cc4e14637fcdda",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84861848463
"Su, L.","12780712300;","Semiparametric GMM estimation of spatial autoregressive models",2012,"Journal of Econometrics","167","2",,"543","560",,63,"10.1016/j.jeconom.2011.09.034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857191009&doi=10.1016%2fj.jeconom.2011.09.034&partnerID=40&md5=fe983193b4bd509487e9833de69fa3eb",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84857191009
"Su, L., Ullah, A., Mishra, S., Wang, Y.","12780712300;7005349157;55463270100;55900463000;","Nonparametric and Semiparametric Volatility Models: Specification, Estimation, and Testing",2012,"Handbook of Volatility Models and Their Applications",,,,"269","291",,2,"10.1002/9781118272039.ch11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886345440&doi=10.1002%2f9781118272039.ch11&partnerID=40&md5=5d6aa38c5769efd0060de333329d504c",Book Chapter,"Final","",Scopus,2-s2.0-84886345440
"Zhang, Y., Su, L., Phillips, P.C.B.","55272889300;12780712300;35350444400;","Testing for common trends in semi-parametric panel data models with fixed effects",2012,"Econometrics Journal","15","1",,"56","100",,30,"10.1111/j.1368-423X.2011.00361.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863168688&doi=10.1111%2fj.1368-423X.2011.00361.x&partnerID=40&md5=f2eb316c606ce65981b7769e8d855b1b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84863168688
"Phillips, P.C.B., Su, L.","35350444400;12780712300;","Non-parametric regression under location shifts",2011,"Econometrics Journal","14","3",,"457","486",,8,"10.1111/j.1368-423X.2011.00344.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054986815&doi=10.1111%2fj.1368-423X.2011.00344.x&partnerID=40&md5=ee9c73635d00b98639afb73680105a93",Article,"Final","All Open Access, Green",Scopus,2-s2.0-80054986815
"Long, X., Su, L., Ullah, A.","25959197400;12780712300;7005349157;","Estimation and forecasting of dynamic conditional covariance: A semiparametric multivariate model",2011,"Journal of Business and Economic Statistics","29","1",,"109","125",,31,"10.1198/jbes.2009.07057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78449234771&doi=10.1198%2fjbes.2009.07057&partnerID=40&md5=9b85c279929fab1b99886e85ebb3ad41",Article,"Final","All Open Access, Green",Scopus,2-s2.0-78449234771
"Su, L., White, H.","12780712300;7402382523;","Testing structural change in partially linear models",2010,"Econometric Theory","26","6",,"1761","1806",,16,"10.1017/S0266466609990788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79451470364&doi=10.1017%2fS0266466609990788&partnerID=40&md5=3ebee3324c0b39b0cab40fcf58ae6953",Article,"Final","All Open Access, Green",Scopus,2-s2.0-79451470364
"Mishra, S., Su, L., Ullah, A.","55463270100;12780712300;7005349157;","Semiparametric estimator of time series conditional variance",2010,"Journal of Business and Economic Statistics","28","2",,"256","274",,19,"10.1198/jbes.2009.08118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-75649098227&doi=10.1198%2fjbes.2009.08118&partnerID=40&md5=81a96c1a2c98d232ba7232d506f17d64",Article,"Final","All Open Access, Green",Scopus,2-s2.0-75649098227
"Su, L., Jin, S.","12780712300;7401822800;","Profile quasi-maximum likelihood estimation of partially linear spatial autoregressive modelsI",2010,"Journal of Econometrics","157","1",,"18","33",,73,"10.1016/j.jeconom.2009.10.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857193527&doi=10.1016%2fj.jeconom.2009.10.033&partnerID=40&md5=de33c139c8e2557b5d81ba134367f3fe",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84857193527
"Su, L., Chen, Y., Ullah, A.","12780712300;55268964800;7005349157;","Functional coefficient estimation with both categorical and continuous data",2009,"Advances in Econometrics","25",,,"131","167",,15,"10.1108/S0731-9053(2009)0000025007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863019993&doi=10.1108%2fS0731-9053%282009%290000025007&partnerID=40&md5=45c65ead51061755f8f7a7ae87ab3efe",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84863019993
"Liangjun, S., Ullah, A.","12780712300;7005349157;","Testing conditional uncorrelatedness",2009,"Journal of Business and Economic Statistics","27","1",,"18","29",,10,"10.1198/jbes.2009.0002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-64549120223&doi=10.1198%2fjbes.2009.0002&partnerID=40&md5=952ef2417ae6fc18b30e8234ba0db745",Article,"Final","All Open Access, Green",Scopus,2-s2.0-64549120223
"Su, L., Xiao, Z.","12780712300;7402447103;","Testing for parameter stability in quantile regression models",2008,"Statistics and Probability Letters","78","16",,"2768","2775",,27,"10.1016/j.spl.2008.03.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-53249147864&doi=10.1016%2fj.spl.2008.03.018&partnerID=40&md5=c29f7937cbf54832e9287a93f66c59fc",Article,"Final","All Open Access, Green",Scopus,2-s2.0-53249147864
"Su, L., White, H.","12780712300;7402382523;","A nonparametric Hellinger metric test for conditional independence",2008,"Econometric Theory","24","4",,"829","864",,106,"10.1017/S0266466608080341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-45249091873&doi=10.1017%2fS0266466608080341&partnerID=40&md5=655519e3a008559a43cd2e3d891bac7c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-45249091873
"Su, L., Ullah, A.","12780712300;7005349157;","Nonparametric prewhitening estimators for conditional quantiles",2008,"Statistica Sinica","18","3",,"1131","1152",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55349100232&partnerID=40&md5=5b072cf6c660b57861686cd51e9ecec6",Article,"Final","",Scopus,2-s2.0-55349100232
"Su, L., Ullah, A.","12780712300;7005349157;","Local polynomial estimation of nonparametric simultaneous equations models",2008,"Journal of Econometrics","144","1",,"193","218",,50,"10.1016/j.jeconom.2008.01.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-42749085690&doi=10.1016%2fj.jeconom.2008.01.002&partnerID=40&md5=29ec124facc2f21960134c14ebb3be26",Article,"Final","All Open Access, Green",Scopus,2-s2.0-42749085690
"Su, L., White, H.","12780712300;7402382523;","A consistent characteristic function-based test for conditional independence",2007,"Journal of Econometrics","141","2",,"807","834",,85,"10.1016/j.jeconom.2006.11.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34848926841&doi=10.1016%2fj.jeconom.2006.11.006&partnerID=40&md5=47399b7794ae499737e83f70f790632b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-34848926841
"Jin, S., Su, L.","7401822800;12780712300;","Forecasting the car penetration rate (CPR) in China: A nonparametric approach",2007,"Applied Economics","39","17",,"2189","2195",,2,"10.1080/00036840600749631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548616326&doi=10.1080%2f00036840600749631&partnerID=40&md5=dd600d5c0a017da464bec8cab15558e2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-34548616326
"Su, L., Ullah, A.","12780712300;7005349157;","More efficient estimation of nonparametric panel data models with random effects",2007,"Economics Letters","96","3",,"375","380",,20,"10.1016/j.econlet.2007.02.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34347382313&doi=10.1016%2fj.econlet.2007.02.018&partnerID=40&md5=3b50729b159e85e5fab753b405f1c073",Article,"Final","All Open Access, Green",Scopus,2-s2.0-34347382313
"Su, L.","12780712300;","Business output and business experience - Evidence from China's nongovernmental businesses",2007,"Applied Economics Letters","14","3",,"227","231",,1,"10.1080/13504850500426210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847250351&doi=10.1080%2f13504850500426210&partnerID=40&md5=7d7ddfe763cdc921d64c97f5521a02f2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-33847250351
"Hu, J., Su, L., Jin, S., Jiang, W.","57211734691;12780712300;7401822800;56015718300;","The rise in house prices in China: Bubbles or fundamentals?",2006,"Economics Bulletin","3","1",,"","",,16,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893011801&partnerID=40&md5=c99ed3d60173d3c438173af44be1ccf6",Article,"Final","",Scopus,2-s2.0-84893011801
"Su, L.","12780712300;","A simple test for multivariate conditional symmetry",2006,"Economics Letters","93","3",,"374","378",,11,"10.1016/j.econlet.2006.06.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751162626&doi=10.1016%2fj.econlet.2006.06.013&partnerID=40&md5=cd46ad5ab92b116c2eab4cc50b97b246",Article,"Final","All Open Access, Green",Scopus,2-s2.0-33751162626
"Su, L., Ullah, A.","12780712300;7005349157;","Profile likelihood estimation of partially linear panel data models with fixed effects",2006,"Economics Letters","92","1",,"75","81",,87,"10.1016/j.econlet.2006.01.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744548021&doi=10.1016%2fj.econlet.2006.01.019&partnerID=40&md5=4e48a23e157a5f65967c122f9f5f4e51",Article,"Final","All Open Access, Green",Scopus,2-s2.0-33744548021
"Su, L., Ullah, A.","12780712300;7005349157;","More efficient estimation in nonparametric regression with nonparametric autocorrelated errors",2006,"Econometric Theory","22","1",,"98","126",,28,"10.1017/S026646660606004X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644891599&doi=10.1017%2fS026646660606004X&partnerID=40&md5=884168132ebed995b675e5607d0e13b6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-33644891599
